time_index,sea_height
201008254 ,81
201008255 ,91
201008256 ,100
201008257 ,108
201008258 ,108
201008259 ,113
2010082510,109
2010082511,101
2010082512,101
2010082513,87
2010082514,83
2010082515,85
2010082516,85
2010082517,98
2010082518,109
2010082519,119
2010082520,119
2010082521,126
2010082522,122
2010082523,113
201008260 ,113
201008261 ,92
201008262 ,83
201008263 ,79
201008264 ,79
201008265 ,86
201008266 ,94
201008267 ,103
201008268 ,103
201008269 ,111
2010082610,109
2010082611,102
2010082612,102
2010082613,86
2010082614,79
2010082615,77
2010082616,77
2010082617,88
2010082618,98
2010082619,109
2010082620,109
2010082621,120
2010082622,119
2010082623,111
201008270 ,111
201008271 ,89
201008272 ,78
201008273 ,72
201008274 ,72
201008275 ,75
201008276 ,83
201008277 ,93
201008278 ,93
201008279 ,105
2010082710,106
2010082711,101
2010082712,101
2010082713,85
2010082714,77
2010082715,73
2010082716,73
2010082717,80
2010082718,90
2010082719,102
2010082720,102
2010082721,118
2010082722,121
2010082723,117
201008280 ,117
201008281 ,99
201008282 ,88
201008283 ,82
201008284 ,82
201008285 ,84
201008286 ,92
201008287 ,102
201008288 ,102
201008289 ,119
2010082810,123
2010082811,120
2010082812,120
2010082813,105
2010082814,95
2010082815,88
2010082816,88
2010082817,89
2010082818,97
2010082819,107
2010082820,107
2010082821,122
2010082822,125
2010082823,122
201008290 ,122
201008291 ,105
201008292 ,92
201008293 ,83
201008294 ,83
201008295 ,79
201008296 ,85
201008297 ,94
201008298 ,94
201008299 ,111
2010082910,117
2010082911,117
2010082912,117
2010082913,106
2010082914,96
2010082915,88
2010082916,88
2010082917,86
2010082918,91
2010082919,100
2010082920,100
2010082921,117
2010082922,122
2010082923,122
201008300 ,122
201008301 ,109
201008302 ,97
201008303 ,86
201008304 ,86
201008305 ,78
201008306 ,81
201008307 ,88
201008308 ,88
201008309 ,105
2010083010,112
2010083011,114
2010083012,114
2010083013,106
2010083014,96
2010083015,87
2010083016,87
2010083017,80
2010083018,82
2010083019,89
2010083020,89
2010083021,104
2010083022,111
2010083023,113
201008310 ,113
201008311 ,104
201008312 ,93
201008313 ,82
201008314 ,82
201008315 ,71
201008316 ,72
201008317 ,77
